id,name,url_logo
1,Allianz              ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Allianz.png   
2,Axa                  ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Axa.png       
3,Caser                ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Caser.png     
4,Fiact                ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Fiact.png     
5,Generali             ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Generali.png  
6,GeneraliOn           ,https://segurosaxarquia.com/wp-content/uploads/2024/12/GeneraliOn.png
7,Helvetia             ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Helvetia.png  
8,Mapfre               ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Mapfre.png    
9,MGS                  ,https://segurosaxarquia.com/wp-content/uploads/2024/12/MGS.png       
10,Mutua de propietarios,https://segurosaxarquia.com/wp-content/uploads/2024/12/Mutua.png     
11,Ocaso                ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Ocaso.png     
12,Occident             ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Occident.png  
13,Pelayo               ,https://segurosaxarquia.com/wp-content/uploads/2024/12/pelayo.png    
14,Preventiva           ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Preventiva.png
15,Reale                ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Reale.png     
16,Santa Lucía          ,https://segurosaxarquia.com/wp-content/uploads/2024/12/SantaLucia.png
17,Zurich               ,https://segurosaxarquia.com/wp-content/uploads/2024/12/Zurich.png    
18,Patria Hispana       ,https://segurosaxarquia.com/wp-content/uploads/2025/01/Patria.png    
