"idCompañia","Nombre","Logo","Teléfono"
"1","Allianz","https://segurosaxarquia.com/wp-content/uploads/2024/12/Allianz.png","{""Asistencia"": 638930465,""Allianz"":913255258,""Diversos"":900103080}"
"2","Axa","https://segurosaxarquia.com/wp-content/uploads/2024/12/Axa.png","{""Asistencia"": 917286710}"
"3","Caser","https://segurosaxarquia.com/wp-content/uploads/2024/12/Caser.png","{""Asistencia"": 915955455}"
"4","Fiact","https://segurosaxarquia.com/wp-content/uploads/2024/12/Fiact.png","{""Asistencia"": 912721923}"
"5","Generali","https://segurosaxarquia.com/wp-content/uploads/2024/12/Generali.png","{""Asistencia"": 913601423}"
"6","GeneraliOn","https://segurosaxarquia.com/wp-content/uploads/2024/12/GeneraliOn.png","{""Asistencia"": 900243657}"
"7","Helvetia","https://segurosaxarquia.com/wp-content/uploads/2024/12/Helvetia.png","{""Asistencia"": 913939057, ""Control de Plagas"": 917697258}"
"8","Mapfre","https://segurosaxarquia.com/wp-content/uploads/2024/12/Mapfre.png","{""Asistencia"": 918365365}"
"9","MGS","https://segurosaxarquia.com/wp-content/uploads/2024/12/MGS.png","{""Asistencia"": 917572404}"
"10","Mutua de propietarios","https://segurosaxarquia.com/wp-content/uploads/2024/12/Mutua.png","{""Asistencia"": 918271530}"
"11","Ocaso","https://segurosaxarquia.com/wp-content/uploads/2024/12/Ocaso.png","{""Asistencia"": 917039009}"
"12","Occident","https://segurosaxarquia.com/wp-content/uploads/2024/12/Occident.png","{""Asistencia"": 932220212}"
"13","Pelayo","https://segurosaxarquia.com/wp-content/uploads/2024/12/Pelayo.png","{""Asistencia"": 915200500}"
"14","Preventiva","https://segurosaxarquia.com/wp-content/uploads/2024/12/Preventiva.png","{""Asistencia"": 900203010, ""Asistencia Fijo"": 915160500}"
"15","Reale","https://segurosaxarquia.com/wp-content/uploads/2024/12/Reale.png","{""Asistencia"": 914547400}"
"16","Santa Lucía","https://segurosaxarquia.com/wp-content/uploads/2024/12/SantaLucia.png","{""Asistencia"": 900242020}"
"17","Zurich","https://segurosaxarquia.com/wp-content/uploads/2024/12/Zurich.png","{""Asistencia"": 934165046}"
"19","Patria Hispana","https://segurosaxarquia.com/wp-content/uploads/2025/01/Patria.png","{""Asistencia"": 911774558}"
